Decimal,Niveau,Kondital
5.111111111,"05,01",27.2822321
5.222222222,"05,02",27.64147284
5.333333333,"05,03",28.00122222
5.444444444,"05,04",28.36148025
5.555555556,"05,05",28.72224691
5.666666667,"05,06",29.08352222
5.777777778,"05,07",29.44530617
5.888888889,"05,08",29.80759877
6,"05,09",30.1704
6.111111111,"06,01",30.53370988
6.222222222,"06,02",30.8975284
6.333333333,"06,03",31.26185556
6.444444444,"06,04",31.62669136
6.555555556,"06,05",31.9920358
6.666666667,"06,06",32.35788889
6.777777778,"06,07",32.72425062
6.888888889,"06,08",33.09112099
7,"06,09",33.4585
7.1,"07,01",33.789576
7.2,"07,02",34.121064
7.3,"07,03",34.452964
7.4,"07,04",34.785276
7.5,"07,05",35.118
7.6,"07,06",35.451136
7.7,"07,07",35.784684
7.8,"07,08",36.118644
7.9,"07,09",36.453016
8,"07,10",36.7878
8.1,"08,01",37.122996
8.2,"08,02",37.458604
8.3,"08,03",37.794624
8.4,"08,04",38.131056
8.5,"08,05",38.4679
8.6,"08,06",38.805156
8.7,"08,07",39.142824
8.8,"08,08",39.480904
8.9,"08,09",39.819396
9,"08,10",40.1583
9.090909091,"09,01",40.46675207
9.181818182,"09,02",40.77554463
9.272727273,"09,03",41.08467769
9.363636364,"09,04",41.39415124
9.454545455,"09,05",41.70396529
9.545454545,"09,06",42.01411983
9.636363636,"09,07",42.32461488
9.727272727,"09,08",42.63545041
9.818181818,"09,09",42.94662645
9.909090909,"09,10",43.25814298
10,"09,11",43.57
10.09090909,"10,01",43.88219752
10.18181818,"10,02",44.19473554
10.27272727,"10,03",44.50761405
10.36363636,"10,04",44.82083306
10.45454545,"10,05",45.13439256
10.54545455,"10,06",45.44829256
10.63636364,"10,07",45.76253306
10.72727273,"10,08",46.07711405
10.81818182,"10,09",46.39203554
10.90909091,"10,10",46.70729752
11,"10,11",47.0229
11.09090909,"11,01",47.33884298
11.18181818,"11,02",47.65512645
11.27272727,"11,03",47.97175041
11.36363636,"11,04",48.28871488
11.45454545,"11,05",48.60601983
11.54545455,"11,06",48.92366529
11.63636364,"11,07",49.24165124
11.72727273,"11,08",49.55997769
11.81818182,"11,09",49.87864463
11.90909091,"11,10",50.19765207
12,"11,11",50.517
12.08333333,"12,01",50.81003472
12.16666667,"12,02",51.10335556
12.25,"12,03",51.3969625
12.33333333,"12,04",51.69085556
12.41666667,"12,05",51.98503472
12.5,"12,06",52.2795
12.58333333,"12,07",52.57425139
12.66666667,"12,08",52.86928889
12.75,"12,09",53.1646125
12.83333333,"12,10",53.46022222
12.91666667,"12,11",53.75611806
13,"12,12",54.0523
13.08333333,"13,01",54.34876806
13.16666667,"13,02",54.64552222
13.25,"13,03",54.9425625
13.33333333,"13,04",55.23988889
13.41666667,"13,05",55.53750139
13.5,"13,06",55.8354
13.58333333,"13,07",56.13358472
13.66666667,"13,08",56.43205556
13.75,"13,09",56.7308125
13.83333333,"13,10",57.02985556
13.91666667,"13,11",57.32918472
14,"13,12",57.6288
14.07692308,"14,01",57.90562189
14.15384615,"14,02",58.18268757
14.23076923,"14,03",58.45999704
14.30769231,"14,04",58.7375503
14.38461538,"14,05",59.01534734
14.46153846,"14,06",59.29338817
14.53846154,"14,07",59.57167278
14.61538462,"14,08",59.85020118
14.69230769,"14,09",60.12897337
14.76923077,"14,10",60.40798935
14.84615385,"14,11",60.68724911
14.92307692,"14,12",60.96675266
15,"14,13",61.2465
15.07692308,"15,01",61.52649112
15.15384615,"15,02",61.80672604
