Sæson,KampID,Dato,Tid,Sted,Køn,Alder,Liga,Pulje,Hjemmehold,Udehold,Resultat,Dommer 1,Dommer 2
2025-2026,16960,2026-01-04,11:00,Sportscenter Herning Hal 2,Mænd,Oldies,OldBoys Herrer FINALE,Pulje 1,Brønderslev Hot Shots FC,Aalborg Flyers FC,2-8,Kristian Reenberg,Mia Meldgaard Højgaard Jensen
2025-2026,16961,2026-01-04,12:00,Sportscenter Herning Hal 2,Mænd,Oldies,OldBoys Herrer FINALE,Pulje 1,Aalborg Flyers FC,Vanløse Floorball / Alliancen,6-4,Kristian Reenberg,Patrick Huus Bols
2025-2026,16962,2026-01-04,13:00,Sportscenter Herning Hal 2,Mænd,Oldies,OldBoys Herrer FINALE,Pulje 1,Vanløse Floorball / Alliancen,Brønderslev Hot Shots FC,9-0,Kristian Reenberg,Patrick Huus Bols
2025-2026,16953,2025-12-07,10:30,Bellahøj Hallerne Hal 2,Mænd,Oldies,Oldboys Kval stævne,Pulje 1,Vanløse Floorball / Alliancen,Jægerspris Underducks FC,,,
2025-2026,16954,2025-12-07,11:30,Bellahøj Hallerne Hal 2,Mænd,Oldies,Oldboys Kval stævne,Pulje 1,Jægerspris Underducks FC,Hafnia FC,,,
2025-2026,16955,2025-12-07,12:30,Bellahøj Hallerne Hal 2,Mænd,Oldies,Oldboys Kval stævne,Pulje 1,Hafnia FC,Vanløse Floorball / Alliancen,,,
2025-2026,14109,,,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Skælskør Eagles Floorball,,,
2025-2026,14045,2025-09-20,13:30,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Greve Floorball Club,5-15,Remi Johansen,Ken Børge Poulsen
2025-2026,14043,2025-09-21,12:00,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Odense Floorball Club,1-15,Martin Tilde Filipsen,Tobias Øvlisen
2025-2026,14044,2025-09-21,12:00,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Allerød Floorball,7-5,Jakob Lind Nilsson,Niels Breitenbach
2025-2026,14046,2025-09-22,19:30,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Vallensbæk Floorball,5-6,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14042,2025-09-22,20:00,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Rungsted-Hørsholm FK,2-8,Nicolai Blom,Jakob Lind Nilsson
2025-2026,14048,2025-09-28,13:00,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Skælskør Eagles Floorball,19-6,Niels Breitenbach,Rasmus Nielsen
2025-2026,14049,2025-09-28,14:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,Helsingør FT,7-3,Martin Skou Andersen,Martin Kirkholm Madsen
2025-2026,14054,2025-10-04,14:00,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Odense Floorball Club,5-7,Niclas Grand Jørgensen,Ken Børge Poulsen
2025-2026,14055,2025-10-04,15:00,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Allerød Floorball,4-5,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14053,2025-10-04,15:30,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Benløse FC,7-2,Niels Breitenbach,Rasmus Nielsen
2025-2026,14052,2025-10-05,12:00,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Rungsted-Hørsholm FK,3-4 SV,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14061,2025-10-12,12:00,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Hafnia FC,2-6,Niels Breitenbach,Rasmus Nielsen
2025-2026,14060,2025-10-12,14:00,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Helsingør FT,6-7,Troels Arpe-Strøm,Tommy Hansen
2025-2026,14057,2025-10-12,18:00,Hørsholm Idrætspark Stadion og Haller Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Rungsted-Hørsholm FK,Greve Floorball Club,6-9,Adam Kristoffersen,Remi Johansen
2025-2026,14058,2025-10-23,20:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,Vallensbæk Floorball,4-5,Martin Skou Andersen,Martin Kirkholm Madsen
2025-2026,14059,2025-10-25,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,Skælskør Eagles Floorball,6-3,Jacob Qvortrup,Rasmus Haslund
2025-2026,14062,2025-10-26,12:00,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Rungsted-Hørsholm FK,7-4,Rasmus Nielsen,Niels Breitenbach
2025-2026,14066,2025-10-26,15:00,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Allerød Floorball,10-4,Martin Kirkholm Madsen,Martin Skou Andersen
2025-2026,14068,2025-11-01,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,Greve Floorball Club,6-3,Jeppe Kristiansen,Kaj Andersen
2025-2026,14070,2025-11-02,12:00,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Skælskør Eagles Floorball,7-6,Niels Breitenbach,Rasmus Nielsen
2025-2026,14071,2025-11-02,12:00,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Helsingør FT,7-6 SV,René Hochauer,Jakob Lind Nilsson
2025-2026,14067,2025-11-02,16:30,Hørsholm Idrætspark Stadion og Haller Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Rungsted-Hørsholm FK,Allerød Floorball,7-4,Tobias Pauli Schmidt,Steffen Leholk
2025-2026,14069,2025-11-03,20:00,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Vallensbæk Floorball,11-9,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14099,2025-11-08,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,Helsingør FT,3-10,Morten Dedenroth,Rasmus Haslund
2025-2026,14072,2025-11-15,13:30,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Rungsted-Hørsholm FK,5-7,Niels Breitenbach,Rasmus Nielsen
2025-2026,14073,2025-11-15,15:00,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Hafnia FC,6-10,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14076,2025-11-16,14:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,Odense Floorball Club,5-4,Anders Regner Christiansen,Tobias Øvlisen
2025-2026,14075,2025-11-16,17:00,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Benløse FC,8-4,René Hochauer,Martin Skou Andersen
2025-2026,14074,2025-11-19,20:00,Pilehaveskolen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Vallensbæk Floorball,FF København,8-2,Martin Skou Andersen,Martin Kirkholm Madsen
2025-2026,14063,2025-11-22,14:00,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,FF København,6-2,Claus Gormsen,Remi Johansen
2025-2026,14056,2025-11-26,20:00,Pilehaveskolen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Vallensbæk Floorball,Greve Floorball Club,8-7,Martin Skou Andersen,Martin Kirkholm Madsen
2025-2026,14081,2025-11-29,12:00,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Skælskør Eagles Floorball,10-3,Martin Tilde Filipsen,Niclas Grand Jørgensen
2025-2026,14079,2025-11-30,10:00,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Greve Floorball Club,3-9,Niels Breitenbach,Ken Børge Poulsen
2025-2026,14122,2025-11-30,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,Rungsted-Hørsholm FK,4-11,Morten Dedenroth,Rasmus Haslund
2025-2026,14080,2025-12-02,20:30,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Vallensbæk Floorball,4-8,Tobias Øvlisen,Anders Regner Christiansen
2025-2026,14064,2025-12-06,15:00,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Benløse FC,3-9,Adam Kristoffersen,Martin Tilde Filipsen
2025-2026,14065,2025-12-13,13:15,Pilehaveskolen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Vallensbæk Floorball,Odense Floorball Club,4-3,Troels Arpe-Strøm,Ronni Søderberg Andersen
2025-2026,14051,2025-12-14,14:30,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,FF København,2-1,Niels Breitenbach,Rasmus Nielsen
2025-2026,14078,2025-12-18,19:45,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Allerød Floorball,6-7 SV,René Hochauer,Troels Arpe-Strøm
2025-2026,14083,2026-01-07,20:00,Pilehaveskolen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Vallensbæk Floorball,Helsingør FT,6-8,Adam Kristoffersen,Remi Johansen
2025-2026,14084,2026-01-08,19:45,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Hafnia FC,5-4 SV,Jannik Engelhardt,Patrick Birckner
2025-2026,14086,2026-01-10,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,Benløse FC,4-6,Michael Langendorff,Rasmus Haslund
2025-2026,14082,2026-01-10,15:00,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Rungsted-Hørsholm FK,4-10,Niels Breitenbach,Rasmus Nielsen
2025-2026,14085,2026-01-15,20:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,FF København,10-4,Martin Skou Andersen,Martin Kirkholm Madsen
2025-2026,14088,2026-01-17,14:00,Marienlyst Centret Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Odense Floorball Club,FF København,5-0,Kamp Aflyst,Kamp Aflyst
2025-2026,14087,2026-01-18,17:00,Hørsholm Idrætspark Stadion og Haller Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Rungsted-Hørsholm FK,Benløse FC,7-3,Niels Breitenbach,Rasmus Nielsen
2025-2026,14089,2026-01-22,20:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,Hafnia FC,6-5 SV,Martin Kirkholm Madsen,Martin Skou Andersen
2025-2026,14093,2026-01-24,15:00,Eggeslevmaglehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Skælskør Eagles Floorball,Greve Floorball Club,3-14,Martin Tilde Filipsen,Morten Dedenroth
2025-2026,14095,2026-01-24,15:30,Sundby hallen Hal 3,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Hafnia FC,Odense Floorball Club,10-6,Niels Breitenbach,Anders Sørensen
2025-2026,14096,2026-01-24,15:30,Bellahøj Hallerne Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,FF København,Benløse FC,5-8,Christoffer Rosendahl Friis,Niclas Grand Jørgensen
2025-2026,14092,2026-01-28,20:00,Pilehaveskolen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Vallensbæk Floorball,Rungsted-Hørsholm FK,6-4,René Hochauer,Remi Johansen
2025-2026,14105,2026-01-31,13:30,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Benløse FC,5-0,,
2025-2026,14100,2026-02-01,14:00,Engholmhallen Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Allerød Floorball,Skælskør Eagles Floorball,8-3,Niels Breitenbach,Rasmus Nielsen
2025-2026,14101,2026-02-01,15:00,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Vallensbæk Floorball,15-5,Troels Arpe-Strøm,René Hochauer
2025-2026,14097,2026-02-01,16:00,Hørsholm Idrætspark Stadion og Haller Hallen,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Rungsted-Hørsholm FK,FF København,5-4,Remi Johansen,Adam Kristoffersen
2025-2026,14098,2026-02-02,20:00,Benløsehallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Benløse FC,Hafnia FC,5-8,René Hochauer,Troels Arpe-Strøm
2025-2026,14090,2026-02-03,20:00,Damagerhallen Hal 1,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Greve Floorball Club,Helsingør FT,16-8,Niels Breitenbach,Rasmus Nielsen
2025-2026,14094,2026-02-05,18:50,Helsingør Idrætspark Stadion og Haller Hal 2,Mænd,Senior,1. Division Herrer,Greve Floorball Club,Helsingør FT,Allerød Floorball,1-9,Niels Breitenbach,Rasmus Nielsen
