id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x_m,y_m,game_id,game_date,competition,video_url,video_time,aim_x,aim_y
1,2025-11-08T13:59:57.396Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,14,Alfred Mørk,,,,,,1,Noa Bowman,,1,Keeper,-10.473,-0.345,2,2025-11-08,Træningskamp,,,,
2,2025-11-08T14:01:28.252Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,17,Viggo Skrubbeltang,,,,,,1,Noa Bowman,,1,Keeper,-9.701,4.052,2,2025-11-08,Træningskamp,,,,
3,2025-11-08T14:06:12.735Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,24,Carl Benjaminsson,,,,,,1,Noa Bowman,,1,Keeper,-14.137,-2.390,2,2025-11-08,Træningskamp,,,,
4,2025-11-08T14:10:24.707Z,Goal,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,23,Jacob Dige,24,Carl Benjaminsson,,,,1,Noa Bowman,,1,Keeper,-6.538,0.580,2,2025-11-08,Træningskamp,,,,
5,2025-11-08T14:19:49.727Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,23,Jacob Dige,,,,,,1,Noa Bowman,,1,Keeper,-13.481,-5.938,2,2025-11-08,Træningskamp,,,,
6,2025-11-08T14:33:05.358Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,23,Jacob Dige,,,,,,1,Noa Bowman,,1,Keeper,-14.484,0.233,2,2025-11-08,Træningskamp,,,,
7,2025-11-08T14:37:24.531Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,23,Jacob Dige,,,,,,1,Noa Bowman,,1,Keeper,-14.561,-2.698,2,2025-11-08,Træningskamp,,,,
8,2025-11-08T14:42:16.348Z,Goal,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,2,William Samuelsen,,,,,,1,Noa Bowman,,1,Keeper,-8.351,-4.280,2,2025-11-08,Træningskamp,,,,
9,2025-11-08T14:59:43.880Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,19,Aiden O'Reilley,,,,,,1,Noa Bowman,,1,Keeper,-5.381,7.755,2,2025-11-08,Træningskamp,,,,
10,2025-11-08T15:04:02.633Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,21,Gustav Engelund,,,,,,1,Noa Bowman,,1,Keeper,-14.098,-0.654,2,2025-11-08,Træningskamp,,,,
11,2025-11-08T15:04:49.619Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,24,Carl Benjaminsson,,,,,,1,Noa Bowman,,1,Keeper,-2.179,-0.037,2,2025-11-08,Træningskamp,,,,
12,2025-11-08T15:06:27.721Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,27,Christoffer Svane,,,,,,1,Noa Bowman,,1,Keeper,-5.728,4.013,2,2025-11-08,Træningskamp,,,,
13,2025-11-08T15:09:40.657Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,16,Marcus Maajen,,,,,,1,Noa Bowman,,1,Keeper,-9.778,7.022,2,2025-11-08,Træningskamp,,,,
14,2025-11-08T15:10:51.355Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,21,Gustav Engelund,,,,,,1,Noa Bowman,,1,Keeper,-14.291,2.355,2,2025-11-08,Træningskamp,,,,
15,2025-11-08T15:16:39.337Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,21,Gustav Engelund,,,,,,1,Noa Bowman,,1,Keeper,-13.674,2.509,2,2025-11-08,Træningskamp,,,,
16,2025-11-08T15:17:35.695Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,17,Viggo Skrubbeltang,,,,,,1,Noa Bowman,,1,Keeper,-10.357,0.426,2,2025-11-08,Træningskamp,,,,
1,2025-11-08T14:00:54.890Z,Goal,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,5.362,5.342,2,2025-11-08,Træningskamp,,,,
2,2025-11-08T14:02:26.357Z,Goal,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,4.920,5.906,2,2025-11-08,Træningskamp,,,,
3,2025-11-08T14:03:31.641Z,Goal,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,13.460,-1.725,2,2025-11-08,Træningskamp,,,,
4,2025-11-08T14:04:23.464Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,10.147,1.330,2,2025-11-08,Træningskamp,,,,
5,2025-11-08T14:04:32.994Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,5.730,2.446,2,2025-11-08,Træningskamp,,,,
6,2025-11-08T14:04:42.924Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,8.454,2.066,2,2025-11-08,Træningskamp,,,,
7,2025-11-08T14:06:39.893Z,Miss,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,9.485,0.336,2,2025-11-08,Træningskamp,,,,
8,2025-11-08T14:06:56.484Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,9.153,3.097,2,2025-11-08,Træningskamp,,,,
9,2025-11-08T14:07:03.046Z,Goal,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,13.497,0.925,2,2025-11-08,Træningskamp,,,,
10,2025-11-08T14:08:01.114Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,12.871,-2.388,2,2025-11-08,Træningskamp,,,,
11,2025-11-08T14:08:02.952Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,14.380,1.587,2,2025-11-08,Træningskamp,,,,
12,2025-11-08T14:08:24.936Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,8.160,-4.560,2,2025-11-08,Træningskamp,,,,
13,2025-11-08T14:11:07.788Z,Goal,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,13.166,-2.130,2,2025-11-08,Træningskamp,,,,
14,2025-11-08T14:12:07.990Z,Miss,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,5.067,-7.946,2,2025-11-08,Træningskamp,,,,
15,2025-11-08T14:12:50.856Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,3.448,4.974,2,2025-11-08,Træningskamp,,,,
16,2025-11-08T14:15:00.702Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,6.245,-3.345,2,2025-11-08,Træningskamp,,,,
17,2025-11-08T14:15:09.417Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,9.411,-2.278,2,2025-11-08,Træningskamp,,,,
18,2025-11-08T14:15:10.143Z,Block,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,7.239,-0.805,2,2025-11-08,Træningskamp,,,,
19,2025-11-08T14:16:29.494Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,10.294,-3.811,2,2025-11-08,Træningskamp,,,,
20,2025-11-08T14:16:55.309Z,Shot,Malmö Akademi,Away,U17 Danmark,Malmö Akademi,1,away,5v5,,,,,1,Noa Bowman,,1,Noa Bowman,,G,,8.601,-1.419,2,2025-11-08,Træningskamp,,,,
