kampId,period,time,side,teamId,timeSecTotal,assistNumber,assistName
35310,2,00:45,HOME,29512,1245,17,Jannik L. Dalkvist
35310,2,01:16,HOME,29512,1276,19,Oliver Ruud
35314,1,13:26,HOME,29507,806,74,Nicholas MacCabe
35314,3,05:56,AWAY,29510,2756,29,Thomas Hvims
35325,3,17:21,AWAY,29511,3441,86,Casper Breitenbach
35340,2,00:37,HOME,29507,1237,74,Nicholas MacCabe
35340,2,10:31,HOME,29507,1831,44,Nikolaj Brixager
35340,2,15:40,HOME,29507,2140,24,Mikkel Benjamin Christensen
35342,1,02:03,AWAY,29508,123,3,Thomas Jensen
35344,1,05:00,HOME,29508,300,2,Søren Jønsson
35344,1,10:37,AWAY,29507,637,74,Nicholas MacCabe
35345,1,01:41,HOME,29510,101,71,Ondrej Ceska
35950,1,14:24,HOME,29505,864,6,Niklas Juul Jensen
35950,1,16:52,HOME,29505,1012,92,Nicolai Flyvholm Pedersen
35959,1,04:01,HOME,29503,241,6,Jonas Emil Kristensen
35961,2,16:05,HOME,29502,2165,97,Morten Handgaard
35973,1,12:55,HOME,29502,775,5,Kristoffer Handgaard
35976,2,19:47,AWAY,29503,2387,90,Jonas Palner Jensen
65707,1,09:25,HOME,29507,565,41,Philip Monin-Vangaa
65714,1,02:33,HOME,29505,153,71,Magnus Nyeng Jensen
65718,2,03:08,AWAY,29502,1388,25,Jonas Højmark
65725,2,04:04,AWAY,29511,1444,92,Frederik Kobberup
69187,3,04:30,AWAY,29513,2670,97,Rasmus Engelhardt Frie
69187,3,13:28,HOME,29508,3208,11,Kristers Kuznecovs
69460,4,04:34,HOME,29503,3874,8,Vinoth Sivapalan
69465,1,01:04,HOME,29458,64,29,Kasper Abildgaard
69465,2,07:03,AWAY,29501,1623,15,Jannick Christoffersen
69946,3,03:18,AWAY,29508,2598,8,Gustav Damgaard Larsen
75083,2,01:05,AWAY,31140,1265,63,Kalle Tamminen
75083,2,04:32,AWAY,31140,1472,63,Kalle Tamminen
75094,1,03:05,HOME,31138,185,89,Kenneth Danielsen
75097,1,02:29,HOME,31138,149,92,Frederik Kobberup
75098,3,08:06,AWAY,31140,2886,42,Magnus Bidstrup-Mynster
75101,1,02:00,HOME,31139,120,28,Victor Toftebjerg
75108,3,07:38,HOME,31143,2858,18,Rasmus Larsen
75111,3,10:17,HOME,31143,3017,92,Nicolai Flyvholm Pedersen
76824,1,19:55,HOME,31142,1195,18,Kristoffer Fält
77702,1,13:37,AWAY,31403,817,8,Jeppe Nygaard
83634,3,10:37,AWAY,31138,3037,90,Malthe Daae Christensen
83635,1,18:27,HOME,31144,1107,71,Mads Lindbjerg Jespersen
83646,2,14:59,HOME,31146,2099,14,Anton Madsen
