kampId,rowIndex,period,time,side,number,goal,assist,penalty,code
35304,0,1,11:56,AWAY,,0-1,,,
35304,1,1,18:01,HOME,10,,,2,222
35304,2,2,03:24,HOME,18,1-1,8,,
35304,3,2,06:50,AWAY,25,1-2,,,
35304,4,2,13:30,HOME,89,2-2,13,,
35304,5,2,17:11,AWAY,2,2-3,25,,
35304,6,3,04:00,HOME,10,3-3,,,
35304,7,3,06:09,AWAY,45,3-4,92,,
35304,8,3,06:23,AWAY,2,3-5,92,,
35304,9,3,06:23,HOME,,,,,401
35304,10,3,08:51,HOME,18,4-5,89,,
35304,11,3,10:34,AWAY,6,4-6,,,
35304,12,3,14:36,HOME,13,,,2,207
35304,13,3,17:11,HOME,18,5-6,10,,
35304,14,3,19:59,AWAY,92,,,2,201
35305,0,1,06:27,HOME,91,,,2,219
35305,1,1,11:03,HOME,88,1-0,,,
35305,2,1,14:30,HOME,48,2-0,18,,
35305,3,2,01:55,HOME,57,3-0,,,
35305,4,2,03:32,AWAY,49,,,2,101
35305,5,2,06:07,HOME,18,,,2,212
35305,6,2,07:15,AWAY,22,3-1,10,,
35305,7,2,09:17,HOME,10,4-1,,,
35305,8,2,12:06,AWAY,22,,,2,201
35305,9,2,13:03,HOME,57,5-1,67,,
35305,10,2,14:42,HOME,5,6-1,18,,
35305,11,3,04:42,HOME,48,7-1,18,,
35305,12,3,09:08,AWAY,10,,,2,208
35305,13,3,11:19,HOME,88,,,2,213
35305,14,3,11:55,HOME,,,,,401
35305,15,3,11:55,AWAY,10,7-2,59,,
35305,16,3,14:40,AWAY,81,7-3,10,,
35305,17,3,17:21,AWAY,10,7-4,81,,
35305,18,3,18:58,HOME,91,,,2,201
35306,0,1,15:51,HOME,90,1-0,98,,
35306,1,1,17:53,AWAY,8,,,2,201
35306,2,2,00:20,HOME,98,2-0,74,,
35306,3,2,01:16,AWAY,88,2-1,2,,
35306,4,2,03:29,HOME,90,3-1,,,
35306,5,2,05:44,HOME,6,,,2,210
35306,6,2,07:54,HOME,87,4-1,32,,
35306,7,2,09:45,HOME,98,,,4,502
35306,8,2,09:45,AWAY,16,,,2,208
35306,9,2,11:45,HOME,87,5-1,32,,
35306,10,2,18:34,AWAY,77,,,2,201
35306,11,3,02:19,HOME,5,,,2,208
35306,12,3,10:11,HOME,24,6-1,90,,
35306,13,3,11:50,AWAY,53,6-2,16,,
35306,14,3,14:24,HOME,32,7-2,,,
35306,15,3,14:34,HOME,90,,,4,504
35306,16,3,16:41,AWAY,53,,,2,216
35306,17,3,16:58,HOME,98,8-2,11,,
35306,18,3,19:17,AWAY,17,8-3,77,,
35307,0,1,16:49,HOME,22,,,2,201
35307,1,1,17:15,AWAY,8,0-1,30,,
35307,2,1,18:44,AWAY,18,0-2,89,,
35307,3,1,19:11,HOME,66,1-2,81,,
35307,4,2,02:38,HOME,81,2-2,66,,
35307,5,2,03:29,AWAY,27,2-3,13,,
35307,6,2,07:10,AWAY,2,,,2,201
35307,7,2,09:49,AWAY,2,2-4,,,
35307,8,2,13:00,HOME,14,,,2,201
35307,9,2,15:19,AWAY,89,,,2,222
35307,10,2,18:43,HOME,59,,,2,220
35307,11,3,00:40,AWAY,2,2-5,18,,
35307,12,3,08:00,AWAY,10,2-6,,,
35307,13,3,08:23,HOME,92,3-6,97,,
35307,14,3,08:52,AWAY,18,3-7,,,
35307,15,3,12:35,HOME,,,,,401
35307,16,3,19:37,AWAY,18,3-8,,,
35308,0,1,01:46,HOME,8,1-0,28,,
35308,1,1,12:16,AWAY,7,1-1,19,,
35308,2,1,12:57,AWAY,12,,,2,208
35308,3,2,03:11,AWAY,92,1-2,25,,
35308,4,2,04:03,AWAY,2,1-3,,,
35308,5,2,12:40,HOME,17,,,2,212
35308,6,3,00:58,AWAY,4,1-4,,,
35308,7,3,05:29,AWAY,45,1-5,92,,
35308,8,3,05:29,HOME,,,,,401
35308,9,3,11:13,AWAY,25,,,2,207
35308,10,3,18:06,HOME,28,,,2,201
35309,0,1,13:04,HOME,7,1-0,2,,
35309,1,2,04:10,HOME,7,2-0,2,,
35309,2,2,05:00,HOME,48,3-0,97,,
35309,3,2,09:23,AWAY,9,,,2,207
