KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,1,29508,-1,Own Goal,,,716
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,1,29508,222,Penalty,10,Jakub Lyskawa,1081
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29508,0,Assist,8,Gustav Damgaard Larsen,1404
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29508,1,Goal,18,Julius Kjærgaard,1404
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29511,1,Goal,25,Marko W. Krogsgaard,1610
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29508,1,Goal,89,Kristers Kuznecovs,2010
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29508,0,Assist,13,Viktor Heinrichas,2010
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29511,1,Goal,2,Mathias Fischer Hoerby Jensen,2231
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,2,29511,0,Assist,25,Marko W. Krogsgaard,2231
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,1,Goal,10,Jakub Lyskawa,2640
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,0,Assist,92,Frederik Kobberup,2769
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,1,Goal,45,Jonas Nordheim,2769
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,0,Assist,92,Frederik Kobberup,2783
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,1,Goal,2,Mathias Fischer Hoerby Jensen,2783
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,0,Time-Out,,,2783
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,1,Goal,18,Julius Kjærgaard,2931
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,0,Assist,89,Kristers Kuznecovs,2931
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,1,Goal,6,Mathias Simon Thorsen,3034
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,207,Penalty,13,Viktor Heinrichas,3276
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,1,Goal,18,Julius Kjærgaard,3431
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29508,0,Assist,10,Jakub Lyskawa,3431
40000934,Hvidovre Attack - RungstedHørsholm,44811,35304,20222023,Grundspil,3,29511,201,Penalty,92,Frederik Kobberup,3599
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,1,29509,219,Penalty,91,Lucas Sødergaard,387
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,1,29509,1,Goal,88,Rasmus Ravn,663
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,1,29509,0,Assist,18,Kristoffer Fält,870
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,1,29509,1,Goal,48,Nicklas Møller,870
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,1,Goal,57,Daniel Hedegaard,1315
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29510,101,Penalty,49,Kristian Kirk,1412
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,212,Penalty,18,Kristoffer Fält,1567
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29510,1,Goal,22,Peter Steen Jensen,1635
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29510,0,Assist,10,Nikolaj Parbo,1635
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,1,Goal,10,Otto Ray Hernandez,1757
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29510,201,Penalty,22,Peter Steen Jensen,1926
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,1,Goal,57,Daniel Hedegaard,1983
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,0,Assist,67,Daniel Mac Cabe,1983
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,0,Assist,18,Kristoffer Fält,2082
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,2,29509,1,Goal,5,Tobias Gade Langsted,2082
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29509,0,Assist,18,Kristoffer Fält,2682
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29509,1,Goal,48,Nicklas Møller,2682
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29510,208,Penalty,10,Nikolaj Parbo,2948
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29509,213,Penalty,88,Rasmus Ravn,3079
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29509,0,Time-Out,,,3115
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29510,1,Goal,10,Nikolaj Parbo,3115
