Dato,KampID,Sæson,Spiller,Nummer,H/U
2022-09-07,35306,20222023,Malthe Kjær,4,H
2022-09-07,35306,20222023,Elias Suensen,5,H
2022-09-07,35306,20222023,Rasmus Rask Kjær Poulsen,6,H
2022-09-07,35306,20222023,Noah Vilsted,8,H
2022-09-07,35306,20222023,Jeppe Huscher Andersen,10,H
2022-09-07,35306,20222023,Zimon Peters,11,H
2022-09-07,35306,20222023,Mikkel Benjamin Christensen,24,H
2022-09-07,35306,20222023,Jonas Gylling Nielsen,32,H
2022-09-07,35306,20222023,Mathias Vestergaard,40,H
2022-09-07,35306,20222023,Philip Monin-Vangaa,41,H
2022-09-07,35306,20222023,Nikolaj Brixager,44,H
2022-09-07,35306,20222023,David Mathiasen,55,H
2022-09-07,35306,20222023,Jonas Kahn Prætorius Jørgensen,56,H
2022-09-07,35306,20222023,Jonas Mønsted,66,H
2022-09-07,35306,20222023,Malthe Winther,68,H
2022-09-07,35306,20222023,Nicholas Maccabe,74,H
2022-09-07,35306,20222023,Mark Bertram,75,H
2022-09-07,35306,20222023,Milan Adam,87,H
2022-09-07,35306,20222023,Nicolai Børner,90,H
2022-09-07,35306,20222023,Mathias Mortensen,98,H
2022-09-07,35306,20222023,Jakob Ohlsson,2,U
2022-09-07,35306,20222023,Jon Precht-Sparre,3,U
2022-09-07,35306,20222023,Patrick Falkenberg Møller,8,U
2022-09-07,35306,20222023,Jacob Hansen,15,U
2022-09-07,35306,20222023,Rasmus Bømervang,16,U
2022-09-07,35306,20222023,Jannik L. Dalkvist,17,U
2022-09-07,35306,20222023,Oliver Ruud,19,U
2022-09-07,35306,20222023,Jonas Hvid Nielsen,24,U
2022-09-07,35306,20222023,Victor Toftebjerg,28,U
2022-09-07,35306,20222023,Mathias S. Madsen,31,U
2022-09-07,35306,20222023,August Lunddahl Mathiassen,53,U
2022-09-07,35306,20222023,Andreas Kleczewski,77,U
2022-09-07,35306,20222023,Jacob Stenkilde,79,U
2022-09-07,35306,20222023,Otto Kjeld Bjørklund Jørgensen,81,U
2022-09-07,35306,20222023,Oliver Madsen,87,U
2022-09-07,35306,20222023,Magnus Møller,88,U
2022-09-07,35306,20222023,Rasmus Schjerlund Nielsen,89,U
