kampId,side,rowIndex,role,number,name,born,status
35306,HOME,0,,4,Malthe Kjær,,closed
35306,HOME,1,,5,Elias Suensen,,closed
35306,HOME,2,,6,Rasmus Rask Kjær Poulsen,,closed
35306,HOME,3,,8,Noah Vilsted,,closed
35306,HOME,4,,10,Jeppe Huscher Andersen,,closed
35306,HOME,5,,11,Zimon Peters,,closed
35306,HOME,6,,24,Mikkel Benjamin Christensen,,closed
35306,HOME,7,,32,Jonas Gylling Nielsen,,closed
35306,HOME,8,,40,Mathias Vestergaard,,closed
35306,HOME,9,,41,Philip Monin-Vangaa,,closed
35306,HOME,10,,44,Nikolaj Brixager,,closed
35306,HOME,11,,55,David Mathiasen,,closed
35306,HOME,12,,56,Jonas Kahn Prætorius Jørgensen,,closed
35306,HOME,13,,66,Jonas Mønsted,,closed
35306,HOME,14,,68,Malthe Winther,,closed
35306,HOME,15,,74,Nicholas Maccabe,,closed
35306,HOME,16,,75,Mark Bertram,,closed
35306,HOME,17,,87,Milan Adam,,closed
35306,HOME,18,,90,Nicolai Børner,,closed
35306,HOME,19,,98,Mathias Mortensen,,closed
35306,AWAY,0,,2,Jakob Ohlsson,,closed
35306,AWAY,1,,3,Jon Precht-Sparre,,closed
35306,AWAY,2,,8,Patrick Falkenberg Møller,,closed
35306,AWAY,3,,15,Jacob Hansen,,closed
35306,AWAY,4,,16,Rasmus Bømervang,,closed
35306,AWAY,5,,17,Jannik L. Dalkvist,,closed
35306,AWAY,6,,19,Oliver Ruud,,closed
35306,AWAY,7,,24,Jonas Hvid Nielsen,,closed
35306,AWAY,8,,28,Victor Toftebjerg,,closed
35306,AWAY,9,,31,Mathias S. Madsen,,closed
35306,AWAY,10,,53,August Lunddahl Mathiassen,,closed
35306,AWAY,11,,77,Andreas Kleczewski,,closed
35306,AWAY,12,,79,Jacob Stenkilde,,closed
35306,AWAY,13,,81,Otto Kjeld Bjørklund Jørgensen,,closed
35306,AWAY,14,,87,Oliver Madsen,,closed
35306,AWAY,15,,88,Magnus Møller,,closed
35306,AWAY,16,,89,Rasmus Schjerlund Nielsen,,closed
35304,HOME,0,,1,Christian Sørensen,,closed
35304,HOME,1,,2,Mathias Fischer Hoerby Jensen,,closed
35304,HOME,2,,4,Lucas Madsen,,closed
35304,HOME,3,,6,Mathias Simon Thorsen,,closed
35304,HOME,4,,7,Rasmus Madsen,,closed
35304,HOME,5,,10,Andre Stich,,closed
35304,HOME,6,,14,Nicholas Filthuth,,closed
35304,HOME,7,,17,Rasmus D'Hermilly,,closed
35304,HOME,8,,19,Anders Grønborg,,closed
35304,HOME,9,,21,Casper Lindhardt Christensen,,closed
35304,HOME,10,,25,Marko W. Krogsgaard,,closed
35304,HOME,11,,45,Jonas Nordheim,,closed
